higher-education-establishment,name,address,website
10007807,"UNIVERSITY OF ULSTER","BT52 1SA",www.ulster.ac.uk
10007163,"UNIVERSITY OF WARWICK","CV4 7AL",www.warwick.ac.uk
10007138,"UNIVERSITY OF NORTHAMPTON,THE","NN2 7AL",www.northampton.ac.uk
10007796,"UNIVERSITY OF LEICESTER","LE1 7RH",www.le.ac.uk
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","B3 1JB",www.ucb.ac.uk
10007762,"GLASGOW CALEDONIAN UNIVERSITY","G4 0BA",www.gcu.ac.uk
10007165,"THE UNIVERSITY OF WESTMINSTER","W1B 2HW",www.westminster.ac.uk
10007148,"UNIVERSITY OF HUDDERSFIELD","HD1 3DH",www.hud.ac.uk
10005545,"ROYAL AGRICULTURAL UNIVERSITY","GL7 6JS",www.rac.ac.uk
10007765,"HEYTHROP COLLEGE","W8 5HN",www.heythrop.ac.uk
10007838,"ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED","CF10 3ER",www.rwcmd.ac.uk
10005523,"ROSE BRUFORD COLLEGE","DA15 9DF",www.bruford.ac.uk
10007156,"UNIVERSITY OF SALFORD, THE","M5 4WT",www.salford.ac.uk
10007657,"WRITTLE COLLEGE","CM1 3RR",www.writtle.ac.uk
10004063,"LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE","WC2A 2AE",www.lse.ac.uk
10004351,"MIDDLESEX UNIVERSITY","NW4 4BT",www.mdx.ac.uk
10007773,"OPEN UNIVERSITY(THE)","MK7 6AA",www.open.ac.uk
10006022,"SOUTHAMPTON SOLENT UNIVERSITY","SO14 0YN",www.solent.ac.uk
10000975,"BUCKINGHAMSHIRE NEW UNIVERSITY","HP11 2JZ",www.bucks.ac.uk
10007167,"UNIVERSITY OF YORK","YO10 5DD",www.york.ac.uk
10007151,"UNIVERSITY OF LINCOLN","LN6 7TS",www.lincoln.ac.uk
10007784,"UNIVERSITY COLLEGE LONDON","WC1E 6BT",www.ucl.ac.uk
