website,name
http://www.keele.ac.uk/,University of Keele
http://www.kent.ac.uk/,University of Kent
http://www.lancs.ac.uk/,University of Lancaster
http://www.leeds.ac.uk/,University of Leeds
http://www.le.ac.uk/,University of Leicester
http://www.lincoln.ac.uk/,University of Lincoln
http://www.liv.ac.uk/,University of Liverpool
http://www.lon.ac.uk/,University of London
http://www.ncl.ac.uk/,University of Newcastle Upon Tyne
http://www.northumbria.ac.uk/,University of Northumbria at Newcastle
http://www.nottingham.ac.uk/,University of Nottingham
http://www.ox.ac.uk/,University of Oxford
http://www.plymouth.ac.uk/,University of Plymouth
http://www.port.ac.uk/,University of Portsmouth
http://www.reading.ac.uk/,University of Reading
http://www.salford.ac.uk/,University of Salford
http://www.shef.ac.uk/,University of Sheffield
http://www.soton.ac.uk/,University of Southampton
http://www.st-andrews.ac.uk/,University of St Andrews
http:///,University of St Mark & St John
http://www.stir.ac.uk/,University of Stirling
http://www.strath.ac.uk/,University of Strathclyde
http://www.sunderland.ac.uk/,University of Sunderland
http://www.surrey.ac.uk/,University of Surrey
http://www.sussex.ac.uk/,University of Sussex
http://www.ulster.ac.uk/,University of Ulster
http://www.wales.ac.uk/,University of Wales Prifysgol Cymru
http://www.trinitysaintdavid.ac.uk/,University of Wales: Trinity Saint David
http://www.warwick.ac.uk/,University of Warwick
http://www.winchester.ac.uk/,University of Winchester
http://www.wlv.ac.uk/,University of Wolverhampton
http://www.worc.ac.uk/,University of Worcester
http://www.york.ac.uk/,University of York
http://www.arts.ac.uk/,"University of the Arts, London"
http://www.uhi.ac.uk/,University of the Highlands and Islands
http://www.uwe.ac.uk/,"University of the West of England, Bristol"
http://www.uws.ac.uk/,University of the West of Scotland
http://www.writtle.ac.uk/,Writtle College
http://www.yorksj.ac.uk/,York St John University
